date, resource, staff_id, count
2021-10,137,Vladimir,21
2021-12,137,Ilya,8
2020-3,129,Polina,100
2020-7,131,Vladimir,29
2020-4,120,Alina,86
2020-1,136,Natalia,40
2021-10,118,Natalia,73
2021-5,124,Anna,33
2020-8,128,Alia,75
2020-3,139,Svyatoslav,34
2020-11,127,Semen,9
2021-1,124,Alina,22
2020-5,127,Semen,34
2021-11,126,Natalia,66
2021-9,128,Ilya,83
2021-11,127,Ilya,10
2021-10,126,Semen,38
2020-1,123,Alina,45
2021-10,125,Nikita,13
2021-6,129,Anna,38
2020-11,124,Anna,9
2021-12,124,Polina,20
2020-8,124,Alina,9
2021-4,131,Anna,38
2021-9,121,Anna,93
2020-5,121,Alia,40
2021-2,136,Semen,83
2021-4,128,Natalia,96
2021-4,138,Alia,6
2021-11,131,Polina,27
2020-10,136,Alina,91
2021-12,119,Alia,42
2021-9,140,Natalia,50
2020-5,131,Polina,7
2021-3,120,Anna,31
2020-2,133,Nikita,19
2020-5,131,Vladimir,99
2020-4,118,Polina,28
2020-10,139,Alina,72
2021-1,132,Anna,83
2021-7,133,Natalia,48
2021-6,126,Rodion,73
2021-4,122,Vladimir,49
2020-12,122,Polina,43
2021-1,135,Natalia,91
2021-5,128,Vladimir,48
2021-5,128,Polina,44
2021-3,118,Natalia,6
2021-9,128,Alia,47
2021-9,129,Svyatoslav,20
2020-2,124,Semen,90
2020-10,127,Ilya,24
2020-2,140,Rodion,65
2021-9,136,Semen,89
2020-12,124,Svyatoslav,2
2020-5,135,Natalia,44
2020-11,128,Ilya,78
2021-11,119,Semen,78
2021-1,119,Anna,63
2020-1,123,Semen,26
2021-1,134,Ilya,72
2020-3,139,Nikita,44
2021-12,122,Polina,74
2020-2,133,Svyatoslav,81
2021-4,136,Semen,32
2021-8,138,Ilya,93
2020-4,137,Anna,43
2020-8,139,Polina,76
2020-7,132,Alia,64
2020-7,121,Svyatoslav,32
2020-3,142,Svyatoslav,31
2021-5,121,Alia,100
2021-12,133,Vladimir,41
2021-9,132,Nikita,95
2020-8,132,Alia,75
2021-2,141,Svyatoslav,27
2021-11,142,Alina,4
2021-12,138,Natalia,82
2020-12,124,Rodion,21
2020-12,137,Ilya,47
2020-2,120,Polina,50
2021-10,140,Ilya,6
2020-7,134,Alina,80
2020-2,132,Ilya,63
2021-12,133,Alina,89
2021-12,142,Rodion,55
2021-7,125,Rodion,48
2021-9,135,Svyatoslav,47
2020-11,126,Alina,93
2020-7,130,Ilya,8
2021-7,138,Semen,56
2020-4,138,Anna,100
2021-11,126,Alina,27
2020-2,133,Ilya,78
2020-1,124,Alia,26
2020-4,131,Semen,20
2020-12,138,Ilya,66
2020-3,121,Ilya,20
2021-10,124,Ilya,8
2021-4,128,Natalia,11
